No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	固定資産税	32	135000	記事	Know（固定資産税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	固定資産税_基礎解説	固定資産税の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	固定資産税 計算	33	40500	計算ページ	Do（固定資産税を計算したい）	計算方法	実務ガイド	計算ツール		固定資産税計算	固定資産税の計算方法・シミュレーション	ツール集客	必須	計算ツール
3	＋	固定資産税 いつ	32	49500	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
4	＋	固定資産税 いくら	32	14800	記事	Know（いくらかかるか知りたい）	計算方法	データ一覧	ガイド記事	金額目安	固定資産税計算	固定資産税の計算方法・シミュレーション	権威構築	必須	計算ツール
5	＋	固定資産税評価額	32	12100	記事	Know（評価額の仕組みを知りたい）	固定資産	解説	解説記事	評価額	固定資産税評価額	固定資産税の評価額の調べ方・計算方法	権威構築	必須	計算ツール
6	＋	固定資産税とは	31	1300	記事	Know（固定資産税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	固定資産税基礎解説	固定資産税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
7	＋	固定資産税 クレジットカード	33	14800	記事	Do（支払い方法を調べたい）	支払い方法	ハウツー	ガイド記事	支払い方法	固定資産税支払い		権威構築	補足
8	＋	固定資産税 支払い	33	8100	記事	Know（いつ届くか・いつ払うか知りたい）	支払い方法	解説	ガイド記事	支払い時期	固定資産税支払い		権威構築	補足
9	＋	固定資産税 計算方法	33	6600	計算ページ	Do（固定資産税を計算したい）	計算方法	実務ガイド	計算ツール		固定資産税計算	固定資産税の計算方法・シミュレーション	ツール集客	必須	計算ツール
10	＋	固定資産税路線価	45	5400	記事	Know（評価額の仕組みを知りたい）	固定資産	解説	解説記事	評価額	固定資産税評価額	固定資産税の評価額の調べ方・計算方法	権威構築	必須	計算ツール
11	＋	固定資産税 勘定科目	45	3600	記事	Do（会計処理を調べたい）	固定資産	実務ガイド	解説記事	会計処理	固定資産税経理		権威構築	補足
12	＋	固定資産税 確定申告	46	2900	記事	Do（確定申告での処理を知りたい）	固定資産	実務ガイド	ハウツー記事	確定申告	固定資産税経理		権威構築	補足
13	＋	固定資産税 支払い月	43	5400	記事	Know（いつ届くか・いつ払うか知りたい）	支払い方法	解説	ガイド記事	支払い時期	固定資産税支払い		権威構築	補足
14	＋	固定資産税 マンション	33	12100	記事	Know（物件タイプ別の税額を知りたい）	住宅タイプ別	解説	ガイド記事	物件タイプ別	固定資産税住宅		権威構築	補足
15	＋	固定資産税 免除	30	2900	記事	Know（固定資産税の控除・軽減を知りたい）	固定資産	解説	解説記事	控除・特例	固定資産税軽減	固定資産税の控除・軽減措置まとめ	権威構築	必須	解説記事
16	＋＋	固定資産税 計算 マンション	30	1900	計算ページ	Do（固定資産税を計算したい）	住宅タイプ別	実務ガイド	計算ツール		固定資産税住宅		ツール集客	補足
17	＋＋	固定資産税 計算方法 戸建て	N/A	210	計算ページ	Do（固定資産税を計算したい）	住宅タイプ別	実務ガイド	計算ツール		固定資産税住宅		ツール集客	補足
18	＋＋	固定資産税 計算 土地のみ	32	720	計算ページ	Do（固定資産税を計算したい）	計算方法	実務ガイド	計算ツール		固定資産税計算	固定資産税の計算方法・シミュレーション	ツール集客	必須	計算ツール
19	＋＋	固定資産税 計算 住宅	33	390	計算ページ	Do（固定資産税を計算したい）	計算方法	実務ガイド	計算ツール		固定資産税計算	固定資産税の計算方法・シミュレーション	ツール集客	必須	計算ツール
20	＋＋	固定資産税 計算ツール	33	1600	計算ページ	Do（固定資産税を計算したい）	計算方法	実務ガイド	計算ツール		固定資産税計算	固定資産税の計算方法・シミュレーション	ツール集客	必須	計算ツール
21	＋＋	固定資産税 計算 新築	30	720	計算ページ	Do（固定資産税を計算したい）	固定資産	実務ガイド	計算ツール		固定資産税新築		ツール集客	補足
22	＋＋	固定資産税 計算 シミュレーション	33	2400	計算ページ	Do（固定資産税を計算したい）	計算方法	実務ガイド	計算ツール		固定資産税計算	固定資産税の計算方法・シミュレーション	ツール集客	必須	計算ツール
23	＋＋	固定資産税 計算式	32	210	計算ページ	Do（固定資産税を計算したい）	計算方法	実務ガイド	計算ツール		固定資産税計算	固定資産税の計算方法・シミュレーション	ツール集客	必須	計算ツール
24	＋＋	固定資産税 いつ払う	32	1600	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
25	＋＋	固定資産税 いつまで払う	33	1900	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
26	＋＋	固定資産税 いつから	31	590	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
27	＋＋	固定資産税 いつからいつまで	31	390	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
28	＋＋	固定資産税 いつから始まった	29	210	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
29	＋＋	固定資産税 いつまで	33	49500	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
30	＋＋	固定資産税 いつから安くなる	42	480	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
31	＋＋	固定資産税 いつくる	45	390	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
32	＋＋	固定資産税 いつから払う	30	260	記事	Know（いつ届くか・いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	固定資産税_支払い時期		権威構築	補足
33	＋＋	固定資産税 いくらくらい	31	590	記事	Know（いくらかかるか知りたい）	計算方法	データ一覧	ガイド記事	金額目安	固定資産税計算	固定資産税の計算方法・シミュレーション	権威構築	必須	計算ツール
34	＋＋	固定資産税 いくら マンション	29	2900	記事	Know（いくらかかるか知りたい）	住宅タイプ別	データ一覧	ガイド記事	金額目安	固定資産税住宅		権威構築	補足
