No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	売却	30	5400	記事	Know（売却の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	売却_基礎解説	売却の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	売却とは	33	260	記事	Know（売却の基本を理解したい）	基礎知識	解説	解説記事	基礎解説	売却基礎解説	売却とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	売却益 税金	47	720	記事	Know（売却時の税金を知りたい）	売却	解説	解説記事	売却税金	売却_売却税金		権威構築	補足
4	＋	売却益	31	590	記事	Know（売却益・譲渡所得を知りたい）	売却	解説	解説記事	売却益	売却_売却益		権威構築	補足
5	＋	売却益とは	28	880	記事	Know（売却益・譲渡所得を知りたい）	基礎知識	解説	解説記事	売却益	売却基礎解説	売却とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
6	＋	売却 英語	42	480	削除			解説		翻訳KW			対象外	不要
7	＋	売却済み	N/A	210	記事	Know（売却の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	売却_基礎解説	売却の基礎知識まとめ	権威構築	必須	ピラーページ
8	＋	売却益 確定申告	N/A	210	記事	Know（売却益・譲渡所得を知りたい）	確定申告	解説	解説記事	売却益	売却申告	売却の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
9	＋	売却基準価額	N/A	170	記事	Know（投資信託の売却を知りたい）	売却	解説	解説記事	投資信託（対象外）	売却_投資信託（対象外）		権威構築	不要
10	＋	売却資産とは	N/A	90	記事	Know（売却の基本を理解したい）	基礎知識	解説	解説記事	基礎解説	売却基礎解説	売却とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
11	＋	売却 とは	33	260	記事	Know（売却の基本を理解したい）	基礎知識	解説	解説記事	基礎解説	売却基礎解説	売却とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
12	＋	売却 税金	45	320	記事	Know（売却時の税金を知りたい）	売却	解説	解説記事	売却税金	売却_売却税金		権威構築	補足
