No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	狙い目	要確認	ページグループ	想定記事タイトル	カテゴリ
1	＋	不動産投資	33	40500	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
2	＋	不動産投資とは	28	2900	解説記事	Know（基礎知識を知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
3	＋	不動産投資ローン	33	4400	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
4	＋	不動産投資 利回り	32	3600	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
5	＋	不動産投資 やめとけ	41	2900	体験記事	Know（失敗・後悔のリアルを知りたい）	体験談	失敗・後悔談			やめとけ体験	不動産投資やめとけと言われる理由｜経験者のリアルな声	失敗談・リアルな話
6	＋	不動産投資 節税	31	2400	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		節税基礎	不動産投資の節税・税金の基礎知識まとめ	税金・節税
7	＋	不動産投資 リスク	31	1900	体験記事	Know（リスク・注意点を知りたい）	体験談	リスク・注意点	◎		リスク対策	不動産投資のリスク一覧と対策｜実体験から学ぶヘッジ策	失敗談・リアルな話
8	＋	不動産投資 初心者	48	1300	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け			初心者向け	不動産投資初心者が知っておくべきこと｜入門ガイド	始め方ガイド
9	＋	不動産投資信託	33	1600	削除			REIT・CF（対象外）	◎				
10	＋	不動産投資ローン 金利	33	1000	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン金利比較	不動産投資ローン金利比較ランキング｜低金利で借りるコツ	融資・ローン体験
11	＋	不動産投資 失敗	29	1000	体験記事	Know（失敗・後悔のリアルを知りたい）	体験談	失敗・後悔談	◎		失敗体験	不動産投資の失敗談｜私が経験した失敗と教訓	失敗談・リアルな話
12	＋	不動産投資 ローン	33	4400	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
13	＋	不動産投資 本	38	880	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍	◎		おすすめ本	不動産投資のおすすめ本ランキング｜初心者必読の10冊	勉強・情報収集
14	＋	不動産投資 確定申告	44	720	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金			確定申告	不動産投資の確定申告やり方ガイド｜初年度の体験談	税金・節税
15	＋	不動産投資 おすすめ	33	1300	解説記事	Buy（サービスを選びたい）	比較記事	おすすめ・比較	◎		おすすめ会社	不動産投資会社おすすめランキング｜比較と選び方	勉強・情報収集
16	＋＋	不動産投資とは 簡単に	43	70	解説記事	Know（基礎知識を知りたい）	解説記事	基礎解説			基礎解説		基礎解説
17	＋＋	不動産投資とは何ですか	N/A	20	解説記事	Know（基礎知識を知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
18	＋＋	不動産投資とは わかりやすく	30	320	解説記事	Know（基礎知識を知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
19	＋＋	不動産投資とは 初心者	32	50	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け	◎	要確認	初心者向け	不動産投資初心者が知っておくべきこと｜入門ガイド	始め方ガイド
20	＋＋	不動産投資とは どんな 副業 か	28	30	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎	要確認	サラリーマン向け	サラリーマン・公務員の不動産投資体験｜副業としての始め方	属性別の始め方
21	＋＋	不動産投資ローン おすすめ	32	260	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎	要確認	ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
22	＋＋	不動産投資ローン 借り換え	47	320	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験			ローン融資全般	不動産投資の融資・審査事情｜通すためにやったこと	融資・ローン体験
23	＋＋	不動産投資ローン金利 比較	33	210	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎	要確認	ローン金利比較	不動産投資ローン金利比較ランキング｜低金利で借りるコツ	融資・ローン体験
24	＋＋	不動産投資ローン金利ランキング	33	1900	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎	要確認	ローン金利比較	不動産投資ローン金利比較ランキング｜低金利で借りるコツ	融資・ローン体験
25	＋＋	不動産投資ローン 金利 sbi	N/A	70	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン金利比較	不動産投資ローン金利比較ランキング｜低金利で借りるコツ	融資・ローン体験
26	＋＋	不動産投資ローン 銀行	33	140	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
27	＋＋	不動産投資ローンとは	N/A	70	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎	要確認	ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
28	＋＋	不動産投資ローン 個人	79	50	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験			ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
29	＋＋	不動産投資 利回り 理想	39	320	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り相場	不動産投資の利回り目安｜理想と現実のギャップ	収支・利回り
30	＋＋	不動産投資 利回り 計算	31	480	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
31	＋＋	不動産投資 利回りとは	33	110	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
32	＋＋	不動産投資 利回り 相場	30	170	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り相場	不動産投資の利回り目安｜理想と現実のギャップ	収支・利回り
33	＋＋	不動産投資 利回り 平均	45	170	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支			利回り相場	不動産投資の利回り目安｜理想と現実のギャップ	収支・利回り
34	＋＋	不動産投資 利回りみんなで大家さん 参加	N/A	0	削除			検索なし	◎				
35	＋＋	不動産投資 利回り 計算方法	32	50	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		始め方ガイド	不動産投資の始め方｜初心者が最初にやるべき5ステップ	始め方ガイド
36	＋＋	不動産投資 利回り 10	25	50	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
37	＋＋	不動産投資 利回り 目安	48	30	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支			利回り相場	不動産投資の利回り目安｜理想と現実のギャップ	収支・利回り
38	＋＋	不動産投資 やめとけ なんj	28	50	体験記事	Know（失敗・後悔のリアルを知りたい）	体験談	失敗・後悔談	◎		やめとけ体験	不動産投資やめとけと言われる理由｜経験者のリアルな声	失敗談・リアルな話
