No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	表面利回りとは	31	1300	記事	Know（表面利回りの意味を理解したい）	解説記事	基礎解説	表面利回り基礎解説	表面利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
2	＋	表面利回り	30	1600	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
3	＋	表面利回り 計算	39	880	計算ページ	Do（正確な利回りを計算したい）	計算ツール		表面利回り計算	表面利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	表面利回り 実質利回り	30	210	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
5	＋	表面利回りと実質利回りの違い	N/A	90	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
6	＋	表面利回り 理想	30	170	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
7	＋	表面利回り 目安	N/A	90	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
8	＋	表面利回り 実質利回り 差	N/A	50	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
9	＋	表面利回り 英語	N/A	50	削除			翻訳KW			対象外	不要	
10	＋	表面利回り 計算方法	N/A	90	計算ページ	Do（正確な利回りを計算したい）	計算ツール		表面利回り計算	表面利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
11	＋	表面利回り 実質利回り 違い	N/A	50	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
12	＋	表面利回り 不動産	33	170	記事	Know（不動産投資の利回りを知りたい）	解説記事	不動産投資	表面利回り_不動産投資	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
13	＋	表面利回り とは	31	1300	記事	Know（表面利回りの意味を理解したい）	解説記事	基礎解説	表面利回り基礎解説	表面利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
14	＋＋	表面利回りとは 不動産	N/A	20	記事	Know（表面利回りの意味を理解したい）	解説記事	基礎解説	表面利回り基礎解説	表面利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
15	＋＋	表面利回りとは わかりやすく	N/A	30	記事	Know（表面利回りの意味を理解したい）	解説記事	基礎解説	表面利回り基礎解説	表面利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
16	＋＋	表面利回りとは 債券	N/A	10	記事	Know（表面利回りの意味を理解したい）	解説記事	基礎解説	表面利回り基礎解説	表面利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
17	＋＋	不動産投資 表面利回りとは	N/A	10	記事	Know（表面利回りの意味を理解したい）	解説記事	基礎解説	表面利回り基礎解説	表面利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
18	＋＋	賃貸 表面利回りとは	N/A	0	削除			検索なし			対象外	不要	
