No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	内部収益率	40	880	記事	Know（内部収益率の概要を知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
2	＋	内部収益率とは	28	390	記事	Know（内部収益率の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	内部収益率基礎解説	内部収益率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	内部収益率法	N/A	110	記事	Know（内部収益率法を理解したい）	税金	解説	解説記事	IRR法	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
4	＋	内部収益率法とは	N/A	50	記事	Know（内部収益率の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	内部収益率基礎解説	内部収益率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
5	＋	内部収益率 わかりやすく	N/A	140	記事	Know（内部収益率の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	内部収益率基礎解説	内部収益率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
6	＋	内部収益率 計算方法	N/A	210	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
7	＋	内部収益率 目安	N/A	30	記事	Know（内部収益率の目安を知りたい）	税金	データ一覧	ガイド記事	目安	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
8	＋	内部収益率 irr	51	140	記事	Know（IRRについて知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
9	＋	内部収益率 求め方	N/A	30	計算ページ	Do（内部収益率を計算したい）	税金	実務ガイド	計算ツール		内部収益率税率	内部収益率の税率一覧と計算方法	ツール集客	必須	計算ツール
10	＋	内部収益率(irr)	29	0	削除			解説		検索なし			対象外	不要
11	＋	内部収益率 とは	28	390	記事	Know（内部収益率の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	内部収益率基礎解説	内部収益率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
12	＋	内部収益率 エクセル	N/A	20	計算ページ	Do（内部収益率を計算したい）	税金	実務ガイド	計算ツール		内部収益率税率	内部収益率の税率一覧と計算方法	ツール集客	必須	計算ツール
13	＋	内部収益率 計算式	N/A	10	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
14	＋	内部収益率 式	N/A	10	記事	Know（内部収益率の概要を知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
15	＋	内部収益率 資本コスト	N/A	10	記事	Know（内部収益率の概要を知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
16	＋＋	内部収益率とは わかりやすく	N/A	0	削除			解説		検索なし			対象外	不要
17	＋＋	irr 内部収益率とは	N/A	0	削除			解説		検索なし			対象外	不要
18	＋＋	内部収益率法(irr法)	N/A	N/A	削除			解説		検索なし			対象外	不要
19	＋＋	内部収益率法 正味現在価値法 違い	N/A	20	記事	Know（内部収益率のメリット・リスクを知りたい）	税金	解説	解説記事	比較・検討	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
20	＋＋	内部収益率法 計算	N/A	10	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
21	＋＋	内部収益率 計算方法 エクセル	N/A	0	削除			解説		検索なし			対象外	不要
22	＋＋	内部収益率 計算方法 中小企業診断士	N/A	0	削除			解説		検索なし			対象外	不要
