No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	不動産投資	33	40500	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
2	＋	不動産投資とは	28	2900	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	不動産投資 利回り	32	3600	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
4	＋	不動産投資ローン	33	4400	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
5	＋	不動産投資 節税	31	2400	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
6	＋	不動産投資 リスク	31	1900	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
7	＋	不動産投資 やめとけ	41	2900	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
8	＋	不動産投資 初心者	48	1300	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
9	＋	不動産投資信託	33	1600	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
10	＋	不動産投資ローン 金利	33	1000	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
11	＋	不動産投資 失敗	29	1000	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
12	＋	不動産投資 ローン	33	4400	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
13	＋	不動産投資 本	38	880	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
14	＋	不動産投資 確定申告	44	720	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
15	＋	不動産投資 おすすめ	33	1300	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
16	＋＋	不動産投資とは 簡単に	43	70	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
17	＋＋	不動産投資とは何ですか	N/A	20	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
18	＋＋	不動産投資とは わかりやすく	30	320	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
19	＋＋	不動産投資とは 初心者	32	50	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
20	＋＋	不動産投資とは どんな 副業 か	28	30	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
21	＋＋	不動産投資 利回り 理想	39	320	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
22	＋＋	不動産投資 利回り 計算	31	480	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
23	＋＋	不動産投資 利回りとは	33	110	記事	Know（不動産投資の利回りを知りたい）	基礎知識	解説	解説記事	利回り	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
24	＋＋	不動産投資 利回り 相場	30	170	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
25	＋＋	不動産投資 利回り 平均	45	170	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
26	＋＋	不動産投資 利回りみんなで大家さん 参加	N/A	0	削除			解説		検索なし			対象外	不要
27	＋＋	不動産投資 利回り 計算方法	32	50	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
