No	キーワード	SEO難易度	月間検索数	判定	検索意図	元トピック	ページID	ターゲットURL	ページタイトル案	振り分け理由
1	仲介手数料	32	18100	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	その他 → pillarに振り分け
2	仲介手数料無料	34	4400	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
3	仲介手数料 相場	33	9900	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
4	仲介手数料 交渉	26	3600	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
5	仲介手数料 計算	43	5400	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
6	仲介手数料 上限	28	1300	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
7	仲介手数料無料 賃貸	34	1900	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
8	仲介手数料 不動産	27	14800	記事	Know（不動産取引の手数料全体を知りたい）	不動産の仲介手数料全般	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「不動産の仲介手数料全般」
9	仲介手数料 勘定科目	34	1600	記事	Do（仕訳・勘定科目を調べたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
10	仲介手数料 英語	33	390	削除		翻訳KW				翻訳KW
11	仲介手数料 賃貸	30	5400	記事	Know（賃貸の手数料ルールを知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
12	仲介手数料 消費税	24	880	記事	Know（消費税がかかるか確認したい）	消費税解説	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「消費税解説」
13	仲介手数料 安い 不動産	25	1900	記事	Buy（安い不動産会社を見つけたい）	安い不動産会社	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安い不動産会社」
14	仲介手数料とは	28	2400	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
15	仲介手数料無料 不動産	26	1300	記事	Know（無料の不動産会社を探したい）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
16	仲介手数料無料 なぜ	34	480	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
17	仲介手数料無料 不動産屋	24	390	記事	Know（無料の不動産会社を探したい）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
18	仲介手数料無料 大阪	22	590	削除		地域KW				地域KW
19	仲介手数料無料 福岡	34	320	削除		地域KW				地域KW
20	仲介手数料無料 デメリット	34	480	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
21	仲介手数料無料 札幌	34	210	削除		地域KW				地域KW
22	仲介手数料無料 中古マンション	34	720	記事	Know（無料の不動産会社を探したい）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
23	仲介手数料 相場 賃貸	25	1300	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
24	仲介手数料 相場 売買	31	260	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
25	仲介手数料 相場 土地	27	260	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
26	仲介手数料 相場 中古マンション	34	140	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
27	仲介手数料 相場 中古住宅	46	110	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
28	仲介手数料 相場 不動産	N/A	0	削除						
29	仲介手数料 相場 戸建て	36	140	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
30	仲介手数料 相場 アパート	43	10	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
31	仲介手数料 相場 マンション	N/A	0	削除						
32	仲介手数料 交渉の仕方	37	90	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
