No	Step	カテゴリ（悩み）	対象キーワード（ツール名）	公開ステータス	重複	狙いたいキーワード	KD難易度	ラッコでの月間検索回数	1位	DR	種別	2位	DR	種別	3位	DR	種別	4位	DR	種別	5位	DR	種別	6位	DR	種別	7位	DR	種別	8位	DR	種別	9位	DR	種別	10位	DR	種別
1	Step 1：購入検討（入口）	利回り・収支を調べたい	表面利回り・実質利回り	/tools/yield-rate		表面利回り 計算	2	880	AI Overview	-	-	https://nagomi-fudousan.com/fudousantoushi/qanda/29.html	32	-	https://www.pressance.co.jp/yuzusachi/magazine/monetization/yield/1786/	52	Article > Guide	PAA	-	-	https://www.athome.co.jp/contents/shikin/user_toushi/	87	Tool > Calculator	https://www.rals.co.jp/invest/info.htm	61	-	https://areps.co.jp/knowledge/surface-yield-real-yield	36	-	https://home4u-owners.jp/contents/revenue-3-398	28	-	https://ls1.odakyu-chukai.com/media/article/344	50	Article > Guide	https://www.am-expo.jp/hub/ja-jp/blog/article_18.html	62	Article > Guide
2	Step 1：購入検討（入口）		キャップレート	/tools/cap-rate		キャップレート 計算	1	50	AI Overview	-	-	https://www.daiwahouse.co.jp/tochikatsu/souken/scolumn/sclm456.html	78	Article > Definition	PAA	-	-	https://www.starts-cam.co.jp/guide/article142.html	44	Article > Guide	https://www2.capratemap.com/	21	Listing > Property	https://www.ares.or.jp/learn/glossary/caprate.html	59	-	https://www.smtri.jp/report_column/report/2025_04_07_6518.html	50	Article > Research	https://www.livable.co.jp/fudosan-toushi/propertista/learn/index05.html	71	-	https://www.smd-am.co.jp/glossary/YST2914/	71	-	https://www.musashi-corporation.com/wealthhack/cap-rate	54	Article > Guide
3	Step 1：購入検討（入口）		キャッシュフロー（CF）	/tools/cf		不動産投資 キャッシュフロー	0	500	https://www.okamura-home.co.jp/column/202503-1/	38	Article > Guide	https://maruishi-tax.jp/column/column201/	33	-	https://www.nomu.com/pro/cashflow/	65	Tool > Calculator	PAA	-	-	https://www.cigr.co.jp/biz/column/real-estate/27184/	66	Article > Guide	http://prestige1.jp/column/20241115	26	-	https://toushi.homes.co.jp/column/buy_sell/cashflow_analysis/beginner1175/	83	-	https://hatas-g.net/news/6215/	23	-	https://yamatozaitaku.com/blog/211120/	42	-	https://www.daiwahouse.co.jp/tochikatsu/souken/scolumn/sclm546.html	78	-
4	Step 1：購入検討（入口）	物件価格の妥当性	収益還元（直接還元法）	/tools/income-capitalization		収益還元法 シミュレーション	0	140	https://apart.familycorporation.co.jp/column/know-how/116247	48	-	https://baikyakulabo.jp/earnings-capitalization-method/	8	-	https://tecrowd.jp/column/real-estate-crowdfunding/profit-return-method-in-real-estate/	35	Article > Guide	AI Overview	-	-	https://www.rals.co.jp/invest/info.htm	61	-	https://manabu.orixbank.co.jp/archives/460	68	Article > Guide	https://www.toushi-hakase.com/simulation/	40	-	https://www.n-estem.co.jp/e-trust/column/invest/2312-10/	43	-	https://www.musashi-corporation.com/wealthhack/profit-return-method	54	Article > Guide	PAA	-	-
5	Step 1：購入検討（入口）		DCF法	/tools/dcf		DCF法 計算式	0	480	https://www.keihi.com/column/5324/	56	Article > Guide	https://biz.moneyforward.com/accounting/basic/84472/	84	-	AI Overview	-	-	https://masouken.com/DCF法の計算式や割引率	62	Article > Definition	https://ma-succeed.jp/content/knowledge/post-12487	50	-	PAA	-	-	https://ma-la.co.jp/m-and-a/dcf-method/	20	Article > Guide	https://www.ma-cp.com/about-ma/dcf/	56	-	https://www.cb-p.co.jp/mamedical-2_old/discount-cash-flow/	31	Article > Definition	https://chushokigyo-support.or.jp/column/cash-flow_financing/dcf/	60	-
6	Step 1：購入検討（入口）		積算評価	/tools/assessed-value		積算評価 計算		20
7	Step 1：購入検討（入口）		再調達価格	/tools/replacement-cost		再調達価格 計算方法	0	210	AI Overview	-	-	https://smlt.jp/sekisan_tatemono_saichotatsu/	34	Tool > Calculator	https://improve-group.co.jp/archives/18378	11	-	https://re-estate.co.jp/press/satei/4437/	53	-	PAA	-	-	https://faq2.ms-ins.com/faq/show/1021?site_domain=default	84	-	https://sat-sagasu.com/saichotatsukakaku	30	Article > How-to	https://sell.yeay.jp/reading/knowledge/9812/	48	-	https://www.soumu.go.jp/main_content/000305873.pdf	91	-	http://www.sbiaq.co.jp/appraisal/replacement-cost.html	30	-
8	Step 1：購入検討（入口）	購入費用・税金	仲介手数料	/tools/brokerage		仲介手数料 計算	1	5400	https://smlt.jp/chukai_houshu/	34	Tool > Calculator	AI Overview	-	-	PAA	-	-	https://www.ieuri.com/bible/sell-knowledge/11416/	39	-	https://sora-ie.jp/fee-simulation/	17	-	https://www.home4u.jp/sell/juku/course/sell-93-13016	68	Article > How-to	https://www.rehouse.co.jp/relifemode/column/at/at_0015/	66	Article > How-to	https://www.taisei-hs.co.jp/realestate-sale/real-estate-brokerage-commission/	49	-	https://gro-bels.co.jp/labo/brokeragefee/	56	Article > How-to	https://www.homes.co.jp/cont/money/money_00230/	83	-
9	Step 1：購入検討（入口）		不動産取得税	/tools/acquisition-tax		不動産取得税 計算	1	9900	AI Overview	-	-	https://www.tax.metro.tokyo.lg.jp/kazei/real_estate/fudosan/syutokuzei	91	-	https://smlt.jp/shutokuzei_tochi_jutaku/	34	Tool > Calculator	PAA	-	-	https://www.law-japan.com/prog/syutokuzei01.php	23	-	https://www.zerorenovation.co.jp/faq/q-calculating-property-tax-and-property-acquisition-tax	47	-	https://re-fujita.jp/kuki-media/real-estate/buy/real-estate-acquisition-tax/	29	Article > How-to	https://nedan.ja-kyosai.or.jp/column/20251226_houseandcar_no2.html	76	-	https://maruishi-tax.jp/column/column035/	33	-	https://www.home4u.jp/sell/juku/course/basic/sell-340-29676	68	-
10	Step 1：購入検討（入口）		登録免許税	/tools/registration-tax		登録免許税 計算	3	5400	AI Overview	-	-	https://houmukyoku.moj.go.jp/homu/content/001325693.pdf	90	-	https://smlt.jp/tourokumenkyozei_tochi/	34	Tool > Calculator	https://houmukyoku.moj.go.jp/homu/content/001443859.pdf	90	-	PAA	-	-	https://maruishi-tax.jp/column/column038/	33	-	https://www.asterecs-e.jp/tmen-zei/	48	Tool > Calculator	https://www.nta.go.jp/taxes/shiraberu/taxanswer/inshi/7191.htm	92	-	https://souzokutouki-support.com/tourokumenkyozei.html	13	-	https://chester-tax.com/encyclopedia/15641.html	55	Article > Guide
11	Step 1：購入検討（入口）		印紙税	/tools/stamp-tax		印紙税 不動産	1	480	https://www.nta.go.jp/law/shitsugi/inshi/08/10.htm	92	-	https://www.rehouse.co.jp/mtebiki/06/	66	Article > How-to	https://smlt.jp/inshizei_keiyakusho_fudosan/	34	Tool > Calculator	https://www.home4u.jp/sell/juku/course/basic/sell-356-25440	68	Article > How-to	https://www.cloudsign.jp/media/20191007-fudousan-inshi/	73	Article > Guide	PAA	-	-	https://www.nta.go.jp/taxes/shiraberu/taxanswer/inshi/7140.htm	92	-	https://www.odakyu-chukai.com/sell/column/article207/	50	-	https://www.stepon.co.jp/zeikin/inshizei.html	66	-	https://diamant.jp/?p=3869	0	-
12	Step 1：購入検討（入口）		固定資産税精算金	準備中		固定資産税 精算金 計算		40
13	Step 1：購入検討（入口）		建物消費税按分	準備中		建物 消費税 計算		50
14	Step 1：購入検討（入口）	融資・ローン	住宅ローン	/tools/mortgage-loan		住宅ローン シミュレーション	52	110000	https://loan.mamoris.jp/	77	Tool > Calculator	https://suumo.jp/sp/apps/loansimulator/index.html	85	Tool > Calculator	https://www.jabank.org/money/myhome.html	74	-	https://www.bk.mufg.jp/kariru/jutaku/sim/shinki/index.html	86	Tool > Calculator	https://www.flat35.com/simulation/simu_01.html	79	-	https://www.smbc.co.jp/kojin/jutaku_loan/simulation/	81	Tool	https://www.resonabank.co.jp/kojin/jutaku/simulation/shinki/nensyu.html	77	Tool > Calculator	https://simulation.netbk.co.jp/cgi/RnLoanSimulationScreenChanges.cgi?SID=homeloan_shinki_simple_desire	77	-	https://www.jhf.go.jp/simulation_loan/	81	Tool > Calculator	https://www.aeonbank.co.jp/aeonbank/housing_loan_sim/Index/open/	75	Tool > Calculator
15	Step 1：購入検討（入口）		LTV（借入比率）	/tools/ltv		借入比率 計算		70
16	Step 1：購入検討（入口）		DSCR（債務返済カバー率）	/tools/dscr		DSCR 計算方法		210
17	Step 1：購入検討（入口）		借入可能額	準備中		借入可能額 シミュレーション	30	110	https://www.bk.mufg.jp/kariru/jutaku/sim/limit/index.html	86	Tool > Calculator	https://www.flat35.com/simulation/simu_03_2.html	79	-	https://www.resonabank.co.jp/kojin/jutaku/simulation/shinki/nensyu.html	77	Tool > Calculator	https://www.jibunbank.co.jp/products/homeloan/simulator/	75	Tool > Calculator	https://www.smbc.co.jp/kojin/jutaku_loan/simulation/shinki01/	81	Tool > Calculator	https://www.aeonbank.co.jp/aeonbank/housing_loan_sim/Index/open/	75	Tool > Calculator	https://simulation.netbk.co.jp/cgi/RnLoanSimulationScreenChanges.cgi?SID=homeloan_shinki_simple_desire	77	-	https://loan.mamoris.jp/	77	Tool > Calculator	PAA	-	-	https://www.paypay-bank.co.jp/mortgage/simulation/	73	Tool > Calculator
18	Step 1：購入検討（入口）	収益性・投資分析	NOI（営業純収益）	/tools/noi		NOI 不動産	0	320	AI Overview	-	-	https://smtrc.jp/useful/glossary/detail?n=1970	65	-	PAA	-	-	https://www.athome.co.jp/contents/words/term_1970/	87	Article > Definition	https://www.ares.or.jp/learn/glossary/noi.html	59	-	https://cozuchi.com/ja/media/083/	48	-	https://www.nomura.co.jp/terms/english/n/A02376.html	78	Article > Definition	https://www.renosy.com/magazine/entries/4113	53	-	https://es.aeca-international.com/glossary/NOI	31	-	https://www.murc.jp/library/terms/aa/noi/	73	-
19	Step 1：購入検討（入口）		ROI（投資利益率）	/tools/roi		投資利益率 計算	4	140	AI Overview	-	-	https://www.kaonavi.jp/dictionary/roi/	72	Article > Guide	PAA	-	-	https://www.nec-solutioninnovators.co.jp/sp/contents/column/20221216_roi.html	72	Article > Guide	https://blastmail.jp/blog/marketing/roi	66	Article > Guide	https://www.salesforce.com/jp/marketing/lead-generation-guide/what-is-roi/	92	Article > Guide	https://www.smd-am.co.jp/glossary/YST1361/	71	-	https://www.freee.co.jp/kb/kb-accounting/roi/	82	-	https://www.innovation.co.jp/urumo/roi/	62	-	https://liskul.com/roi-calculation-119661	70	-
20	Step 1：購入検討（入口）		CCR（自己資金配当率）	/tools/ccr		自己資金配当率		N/A
21	Step 1：購入検討（入口）		IRR（内部収益率）	/tools/irr		IRR 計算方法	2	1600	AI Overview	-	-	https://www.ma-cp.com/about-ma/irr/	56	-	https://biz.moneyforward.com/ma/basic/404/	84	Article > Guide	PAA	-	-	https://www.musashi-corporation.com/wealthhack/irr	54	Article > Guide	https://ma-la.co.jp/m-and-a/irr/	20	Article > Guide	https://creal.jp/blogs/real-estate-investment/1682/	55	Article > Guide	https://www.m-keiei.jp/musashinocolumn/irr	41	Article > Guide	https://www.murc.jp/library/terms/aa/irr/	73	-	https://www.nihon-ma.co.jp/columns/2024/x20240906/	71	-
22	Step 1：購入検討（入口）		NPV（正味現在価値）	/tools/npv		NPV 計算	1	880	AI Overview	-	-	https://subaru-inc.co.jp/manda_souzoku_daigaku/jigyoshokei_gakubu/npv/	34	-	https://mitsukijapan.com/ma/column/thorough-explanation-of-the-npv-method-use-it-as-an-indicator-when-making-investment-decisions/	59	Article > Guide	https://www.ma-cp.com/about-ma/net-present-value/	56	-	PAA	-	-	https://keisan.casio.jp/exec/user/1351601122	80	-	https://ma-la.co.jp/m-and-a/net-present-value/	20	-	https://keiridriven.mjs.co.jp/171796/	74	Article > Guide	https://mabp.co.jp/magazine/20462/	50	-	https://glossary.mizuho-sc.com/faq/show/1178	71	-
23	Step 2：運営・節税（保有）	将来のリスクに備える	デッドクロス	/tools/dead-cross		デッドクロス 不動産	0	210	https://www.musashi-corporation.com/wealthhack/dead-cross	54	Article > Guide	https://homes.panasonic.com/column/00178/	90	-	PAA	-	-	https://www.toshinjyuken.co.jp/aichi_nagoya/?p=6092	35	Article > Guide	https://fudousan-toushi.jp/column/dead-cross	44	-	https://manabu.orixbank.co.jp/archives/401	68	Article > Guide	https://vertex-c.co.jp/column/article/10	38	-	https://www.dainichi.co.jp/column/knowledge/kurojitousannkaihi20240201.html	22	-	https://toushi.homes.co.jp/column/buy_sell/cashflow_analysis/beginner1172/	83	-	http://prestige1.jp/column/20230623	26	-
24	Step 2：運営・節税（保有）		繰上返済	準備中		繰り上げ返済 シミュレーション	9	6600	https://www.shiruporuto.jp/public/document/container/sikin/menu/s_kuriage.html	76	Tool > Calculator	https://www.smbc.co.jp/sim/servlet/sim.IchikuriSimServlet	81	Tool > Calculator	https://keisan.casio.jp/exec/system/1256183302	80	-	PAA	-	-	https://www.jabank.org/money/homeloan_kuriage/	74	-	https://www.sbishinseibank.co.jp/retail/housing/simulation/kuriage/	74	Tool > Calculator	https://wt01.mc-j.co.jp/loan/kuriage.html	52	Tool > Calculator	https://chuo.rokin.com/CGI/kariru/jsim_kuri.cgi	72	-	https://www.simulation.jhf.go.jp/henkou/index.html	81	Tool	https://www.orixbank.co.jp/personal/house/prepay_simulation.html	68	-
25	Step 2：運営・節税（保有）		リフォーム費用	準備中		リフォーム費用 シミュレーション		90
26	Step 2：運営・節税（保有）		リフォームローン	準備中		リフォームローン シミュレーション	4	1000	https://www.bk.mufg.jp/sim/sim_N_reform.html	86	Tool > Calculator	https://www.orico-pf.co.jp/service/simulation/reform/	67	Tool > Calculator	https://www.jabank.org/money/kakusyu.html	74	-	PAA	-	-	https://www.shinkin.co.jp/isurugi/reformsimulation.html	80	-	http://simulation.m-orico.jp/reform/	63	Tool > Calculator	https://www.simulation.jhf.go.jp/reform/index.html	81	-	https://www.sihd-bk.jp/personal/loan/reform/simulation/	71	Tool > Calculator	https://www.mefs.co.jp/service/mansion-reform/simulation/	31	-	https://www.boy.co.jp/loan/pc/simulation/reform.html	74	-
27	Step 2：運営・節税（保有）	運営コスト・税金	固定資産税	準備中		固定資産税 計算	1	40500	AI Overview	-	-	https://www.haseko-sumai.com/kurashi/archive/detail_372.html	58	-	PAA	-	-	https://www.saisoncard.co.jp/credictionary/lifestyle/article051.html	82	-	https://www.tax.metro.tokyo.lg.jp/kazei/real_estate/kotei_tosi	91	-	https://www.fujiken-sumai.jp/blog/2025/08/21/fpropertytax_house/	31	Article > How-to	https://nedan.ja-kyosai.or.jp/column/20250930_houseandcar_no1-2.html	76	-	https://www.grandy.jp/article/topics/propertytax_simulation/	34	Article > How-to	https://www.city.koriyama.lg.jp/soshiki/31/5227.html	74	-	https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/150790_15.html	91	-
28	Step 2：運営・節税（保有）		減価償却	/tools/depreciation		減価償却 計算	5	6600	https://keisan.casio.jp/exec/system/1339479951	80	-	https://www.nta.go.jp/taxes/shiraberu/saigai/h30/0018008-045/05.htm	92	-	https://www.obc.co.jp/360/list/post81	76	Article > How-to	PAA	-	-	https://www.bk.mufg.jp/soudan/shisan/lp/column/87.html	86	Article > Guide	https://www.yayoi-kk.co.jp/kaikei/oyakudachi/genkashokyaku-keisan/	77	Article > Guide	https://www.canon-its.co.jp/solution/industry/cross-industry/superstream/column/article/trend-depreciation-calculation-method	72	-	https://pandora-climber.jp/article/category_management/management_depreciationguide.html	36	-	https://hcm-jinjer.com/blog/keihiseisan/depreciation/	65	Article > Guide	https://bakuraku.jp/knowledge/knowledge-accounting/depreciation/	59	-
