No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	固定資産税 精算金	34	480	記事	Know（固定資産税 精算金の概要を知りたい）	解説記事	基礎解説	固定資産税精算金_基礎解説	固定資産税精算金の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	固定資産税 精算金 消費税	N/A	210	記事	Know（固定資産税 精算金の概要を知りたい）	解説記事	基礎解説	固定資産税精算金_基礎解説	固定資産税精算金の基礎知識まとめ	権威構築	必須	ピラーページ
3	＋	固定資産税 清算金 精算金	N/A	10	記事	Know（固定資産税 精算金の概要を知りたい）	解説記事	基礎解説	固定資産税精算金_基礎解説	固定資産税精算金の基礎知識まとめ	権威構築	必須	ピラーページ
4	＋	固定資産税 精算金 計算	N/A	40	計算ページ	Do（固定資産税 精算金を計算したい）	計算ツール		固定資産税精算金計算	固定資産税精算金の計算方法・シミュレーション	ツール集客	必須	計算ツール
5	＋	固定資産税 精算金 領収書 印紙	N/A	70	記事	Know（固定資産税 精算金の概要を知りたい）	解説記事	基礎解説	固定資産税精算金_基礎解説	固定資産税精算金の基礎知識まとめ	権威構築	必須	ピラーページ
6	＋	固定資産税 精算金 仕訳	N/A	50	記事	Do（固定資産税 精算金の会計処理を調べたい）	解説記事	会計処理	固定資産税精算金_会計処理		権威構築	補足	
7	＋	固定資産税 精算金 取得価額	N/A	30	記事	Know（固定資産税 精算金の概要を知りたい）	解説記事	基礎解説	固定資産税精算金_基礎解説	固定資産税精算金の基礎知識まとめ	権威構築	必須	ピラーページ
8	＋	固定資産税 精算金とは	N/A	110	記事	Know（固定資産税 精算金の意味を理解したい）	解説記事	基礎解説	固定資産税精算金基礎解説	固定資産税精算金とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
9	＋	固定資産税 精算金 勘定科目	N/A	70	記事	Do（固定資産税 精算金の会計処理を調べたい）	解説記事	会計処理	固定資産税精算金_会計処理		権威構築	補足	
10	＋＋	建物 固定資産税 精算金 消費税	N/A	10	記事	Know（固定資産税 精算金の概要を知りたい）	解説記事	基礎解説	固定資産税精算金_基礎解説	固定資産税精算金の基礎知識まとめ	権威構築	必須	ピラーページ
11	＋＋	土地 固定資産税 精算金 消費税	N/A	10	記事	Know（不動産での固定資産税 精算金を知りたい）	解説記事	不動産特化	固定資産税精算金_不動産特化	固定資産税精算金と不動産投資の関係を解説	権威構築	必須	解説記事
12	＋＋	固定資産税 精算金 計算方法	N/A	40	計算ページ	Do（固定資産税 精算金を計算したい）	計算ツール		固定資産税精算金計算	固定資産税精算金の計算方法・シミュレーション	ツール集客	必須	計算ツール
13	＋α	固定資産税 精算金 印紙	N/A	N/A	削除			検索なし			対象外	不要	
14	＋α	固定資産税 精算金 売主	N/A	N/A	削除			検索なし			対象外	不要	
15	＋α	固定資産税 精算金 確定申告	N/A	20	記事	Do（固定資産税 精算金の申告をしたい）	ハウツー記事	申告・届出	固定資産税精算金申告	固定資産税精算金の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
16	＋α	固定資産税 精算金 起算日	N/A	10	記事	Know（固定資産税 精算金の概要を知りたい）	解説記事	基礎解説	固定資産税精算金_基礎解説	固定資産税精算金の基礎知識まとめ	権威構築	必須	ピラーページ
17	＋α	固定資産税 精算金 経費	N/A	0	削除			検索なし			対象外	不要	
18	＋α	固定資産税 精算金 取得費	N/A	30	記事	Know（固定資産税 精算金の概要を知りたい）	解説記事	基礎解説	固定資産税精算金_基礎解説	固定資産税精算金の基礎知識まとめ	権威構築	必須	ピラーページ
19	＋α	固定資産税 精算金 譲渡所得	N/A	40	記事	Know（固定資産税 精算金の概要を知りたい）	解説記事	基礎解説	固定資産税精算金_基礎解説	固定資産税精算金の基礎知識まとめ	権威構築	必須	ピラーページ
20	＋α	固定資産税 都市計画税 精算金	N/A	0	削除			検索なし			対象外	不要	
