URL	title	h1	description
/	大家DX - 賃貸経営シミュレーション	賃貸経営を、もっとスマートに	AI搭載の包括的賃貸経営プラットフォーム。収益シミュレーション、市場分析、経営判断をサポートします。
/tools	不動産投資 計算ツール一覧｜利回り・税金・ローン【無料】 | 大家DX	不動産投資 計算ツール一覧	利回り・キャッシュフロー・IRRなどの収益分析から、仲介手数料・譲渡所得税・印紙税などの税金計算まで。賃貸経営に必要な計算ツールを全て無料で提供。2026年度最新税制対応。
/tools/simulator	賃貸経営シミュレーター | 大家DX	賃貸経営のためのシミュレーション	賃貸経営の収益性をシミュレーション。IRR、CCR、DSCR、35年キャッシュフローを一括計算。完全無料で利用可能。
/tools/yield-rate	表面利回り・実質利回り 計算シミュレーション｜早見表付き	不動産の表面利回り・実質利回り 計算シミュレーション｜早見表付き	賃貸経営の表面利回り・実質利回りを10秒で無料計算。物件価格と年間賃料を入力するだけで、グロス利回り・ネット利回りがすぐわかります。
/tools/roi	賃貸経営のROI（投資利益率） 計算シミュレーション｜CCR・FCR同時計算	賃貸経営のROI（投資利益率） 計算シミュレーション	賃貸経営のROI（投資利益率）を無料で計算。キャッシュフローROI、CCR、FCRを同時に算出。
/tools/irr	賃貸経営のIRR（内部収益率） 計算シミュレーション｜早見表付き	不動産のIRR（内部収益率） 計算シミュレーション	賃貸経営のIRR（内部収益率）を無料で計算。物件購入から売却までの収益性を時間価値を考慮して評価。
/tools/npv	賃貸経営のNPV（正味現在価値） 計算シミュレーション｜感度分析付き	賃貸経営のNPV（正味現在価値） 計算シミュレーション	賃貸経営のNPV（正味現在価値）を無料で計算。DCF法に基づき、将来キャッシュフローの現在価値を算出。
/tools/noi	賃貸経営のNOI（営業純収益） 計算シミュレーション｜経費率目安付き | OOYA.tech	不動産のNOI（営業純収益） 計算シミュレーション	NOI（Net Operating Income・営業純収益）を計算できる無料シミュレーター。GPI・EGI・OPEXの詳細内訳を表示し、キャッシュフローツリーで収益構造を可視化。物件タイプ別の経費率目安も掲載。
/tools/cf	賃貸経営のキャッシュフロー 計算シミュレーション｜BTCF・収支可視化	賃貸経営のキャッシュフロー 計算シミュレーション	賃貸経営のキャッシュフロー（CF）を無料で計算。キャッシュフローツリーで収支を可視化。
/tools/ccr	賃貸経営のCCR（自己資金配当率） 計算シミュレーション｜早見表付き | OOYA.tech	不動産のCCR（自己資金配当率） 計算シミュレーション	CCR（Cash on Cash Return・自己資金配当率）を計算できる無料シミュレーター。自己資金に対する年間キャッシュフローの収益率を算出し、レバレッジ効果も判定。物件購入の収益効率を分析できます。
/tools/dscr	DSCR（債務返済カバー率） 計算シミュレーション｜融資審査の目安がわかる	不動産のDSCR（債務返済カバー率） 計算シミュレーション	DSCR（債務返済カバー率）を無料で計算。年間賃料収入と借入条件を入力するだけで、金融機関の融資審査における返済能力の目安がわかります。
/tools/cap-rate	不動産のキャップレート（還元利回り）計算シミュレーション｜地域別相場付き	キャップレート（還元利回り） 計算シミュレーション	不動産のキャップレート（還元利回り）を無料で計算。NOIと物件価格から利回りを算出。
/tools/income-capitalization	収益還元法（直接還元法） 計算シミュレーション	収益還元法（直接還元法） 計算シミュレーション	収益還元法（直接還元法）による不動産の収益価格を無料で計算。年間賃料収入とキャップレートを入力するだけで、収益不動産の理論価格を算出できます。
/tools/dcf	DCF法 計算シミュレーション	不動産のDCF法（割引キャッシュフロー法） 計算シミュレーション	DCF法（割引キャッシュフロー法）で不動産の収益価格を無料で概算計算。早見表付き。
