No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	解決ニーズ	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	仲介手数料	32	18100	記事	Know（仲介手数料の概要を知りたい）	仲介手数料の全体像（仕組み・計算方法・相場・上限）を把握したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
2	＋	仲介手数料 相場	33	9900	記事	Know（いくら払うのか相場を知りたい）	仲介手数料の一般的な相場金額を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
3	＋	仲介手数料 交渉	26	3600	記事	Do（手数料を値引き交渉したい）	仲介手数料の交渉方法・成功するコツを知りたい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
4	＋	仲介手数料 計算	43	5400	計算ページ	Do（正確な金額を計算したい）	自分の物件の仲介手数料を正確に計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
5	＋	仲介手数料無料	34	4400	記事	Know（無料の不動産会社を探したい）	仲介手数料が無料の不動産会社の仕組みを知りたい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
6	＋	仲介手数料 不動産	27	14800	記事	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
7	＋	仲介手数料とは	28	2400	記事	Know（仲介手数料の仕組みを理解したい）	仲介手数料とは何か基本を理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
8	＋	仲介手数料 勘定科目	34	1600	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料の正しい勘定科目を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
9	＋	仲介手数料 上限	28	1300	記事	Know（法律上の上限ルールを確認したい）	仲介手数料の法定上限額を確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
10	＋	仲介手数料 賃貸	30	5400	記事	Know（賃貸の手数料ルールを知りたい）	賃貸物件の仲介手数料がいくらか知りたい	賃貸	解説	ガイド記事	賃貸特化	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
